Function,System Include File,Function Prototype,Description
iswspace4,wctype.h,int iswspace (wint_t wc);,Checks for any wide character that corresponds to an implementation-defined set of wide characters for which iswalnum is false.
iswupper4,wctype.h,int iswupper (wint_t wc);,Checks for any uppercase wide character.
iswxdigit4,wctype.h,int iswxdigit (wint_t wc);,Checks for any hexadecimal digit character.
isxdigit4,wctype.h,int isxdigit(int c);,Tests if c is a hexadecimal digit.
j0,math.h,double j0(double x);,Calculates the Bessel function value of the first kind of order 0.
j1,math.h,double j1(double x);,Calculates the Bessel function value of the first kind of order 1.
jn,math.h,"double jn(int n, double x);",Calculates the Bessel function value of the first kind of order n.
labs,stdlib.h,long int labs(long int n);,Calculates the absolute value of n.
ldexp,math.h,"double ldexp(double x, int exp);",Returns the value of x multiplied by (2 to the power of exp).
ldiv,stdlib.h,"ldiv_t ldiv(long int numerator, long int denominator);",Calculates the quotient and remainder of numerator/denominator.
localeconv,locale.h,struct lconv *localeconv(void);,Formats numeric quantities in struct lconv according to the current locale.
localtime,time.h,struct tm *localtime(const time_t *timeval);,Converts timeval to a structure of type tm.
localtime64,time.h,struct tm *localtime64(const time64_t *timeval);,Converts timeval to a structure of type tm.
localtime_r,time.h,"struct tm *localtime_r (const time_t *timeval, struct tm *result);",Converts a time value to a structure of type tm. (Restartable version of localtime.)
localtime64_r,time.h,"struct tm *localtime64_r (const time64_t *timeval, struct tm *result);",Converts a time value to a structure of type tm. (Restartable version of localtime64.)
log,math.h,double log(double x);,Calculates the natural logarithm of x.
log10,math.h,double log10(double x);,Calculates the base 10 logarithm of x.
longjmp,setjmp.h,"void longjmp(jmp_buf env, int value);",Restores a stack environment previously set in env by the setjmp function.
malloc,stdlib.h,void *malloc(size_t size);,Reserves a block of storage.
mblen,stdlib.h,"int mblen(const char *string, size_t n);",Determines the length of a multibyte character string.
mbrlen4,wchar.h,"int mbrlen (const char *s, size_t n, mbstate_t *ps);",Determines the length of a multibyte character. (Restartable version of mblen.)
mbrtowc4,wchar.h,"int mbrtowc (wchar_t *pwc, const char *s, size_t n, mbstate_t *ps);",Convert a multibyte character to a wide character (Restartable version of mbtowc.)
mbsinit4,wchar.h,int mbsinit (const mbstate_t *ps);,Test state object *ps for initial state.
mbsrtowcs4,wchar.h,"size_t mbsrtowc (wchar_t *dst, const char **src, size_t len, mbstate_t *ps);",Convert multibyte string to a wide character string. (Restartable version of mbstowcs.)
mbstowcs,stdlib.h,"size_t mbstowcs(wchar_t *pwc, const char *string, size_t n);","Converts the multibyte characters in string to their corresponding wchar_t codes, and stores not more than n codes in pwc."
mbtowc,stdlib.h,"int mbtowc(wchar_t *pwc, const char *string, size_t n);",Stores the wchar_t code corresponding to the first n bytes of multibyte character string into the wchar_t character pwc.
memchr,string.h,"void *memchr(const void *buf, int c, size_t count);",Searches the first count bytes of buf for the first occurrence of c converted to an unsigned character.
memcmp,string.h,"int memcmp(const void *buf1, const void *buf2, size_t count);",Compares up to count bytes of buf1 and buf2.
memcpy,string.h,"void *memcpy(void *dest, const void *src, size_t count);",Copies count bytes of src to dest.
memmove,string.h,"void *memmove(void *dest, const void *src, size_t count);",Copies count bytes of src to dest. Allows copying between objects that overlap.
memset,string.h,"void *memset(void *dest, int c, size_t count);",Sets count bytes of dest to a value c.
mktime,time.h,time_t mktime(struct tm *time);,Converts local time into calendar time.
mktime64,time.h,time64_t mktime64(struct tm *time);,Converts local time into calendar time.
modf,math.h,"double modf(double x, double *intptr);",Breaks down the floating-point value x into fractional and integral parts.
nextafter,math.h,"double nextafter(double x, double y);",Calculates the next representable value after x in the direction of y.
nextafterl,math.h,"long double nextafterl(long double x, long double y);",Calculates the next representable value after x in the direction of y.
nexttoward,math.h,"double nexttoward(double x, long double y);",Calculates the next representable value after x in the direction of y.
nexttowardl,math.h,"long double nexttowardl(long double x, long double y);",Calculates the next representable value after x in the direction of y.
nl_langinfo4,langinfo.h,char *nl_langinfo(nl_item item);,Retrieve from the current locale the string that describes the requested information specified by item.
perror,stdio.h,void perror(const char *string);,Prints an error message to stderr.
pow,math.h,"double pow(double x, double y);",Calculates the value x to the power y.
printf,stdio.h,"int printf(const char *format-string, arg-list);",Formats and prints characters and values to stdout.
putc1,stdio.h,"int putc(int c, FILE *stream);",Prints c to the output stream.
putchar1,stdio.h,int putchar(int c);,Prints c to stdout.
putenv,stdlib.h,int *putenv(const char *varname);,Sets the value of an environment variable by altering an existing variable or creating a new one.
puts,stdio.h,int puts(const char *string);,Prints a string to stdout.
putwc6,"stdio.h
wchar.h","wint_t putwchar(wchar_t wc, FILE *stream);","Converts the wide character wc to a multibyte character, and writes it to the stream at the current position."
putwchar6,wchar.h,wint_t putwchar(wchar_t wc);,Converts the wide character wc to a multibyte character and writes it to stdout.
qsort,stdlib.h,"void qsort(void *base, size_t num, size_t width, int(*compare)(const void *element1, const void *element2));","Performs a quick sort of an array of num elements, each of width bytes in size."
quantexpd32,math.h,"_Decimal32 quantized32(_Decimal32 x, _Decimal32 y);",Compute the quantum exponent of a single-precision decimal floating-point value.
quantexpd64,math.h,"_Decimal64 quantized64(_Decimal64 x, _Decimal64 y);",Compute the quantum exponent of a double-precision decimal floating-point value.
quantexpd128,math.h,"_Decimal128 quantized128(_Decimal128 x, _Decimal128 y);",Compute the quantum exponent of a quad-precision decimal floating-point value.
quantized32,math.h,int quantexpd32(_Decimal32 x);,Set the quantum exponent of a single-precision decimal floating-point value to the quantum exponent of another single-precision decimal floating-point value.
quantized64,math.h,int quantexpd64(_Decimal64 x);,Set the quantum exponent of a double-precision decimal floating-point value to the quantum exponent of another double-precision decimal floating-point value.
quantized128,math.h,int quantexpd128(_Decimal128 x);,Set the quantum exponent of a quad-precision decimal floating-point value to the quantum exponent of another quad-precision decimal floating-point value.
samequantumd32,math.h,"__bool__ samequantumd32(_Decimal32 x, _Decimal32 y);",Determine if the quantum exponents of two single-precision decimal floating-point values are the same.
samequantumd64,math.h,"__bool__ samequantumd64(_Decimal64 x, _Decimal64 y);",Determine if the quantum exponents of two double-precision decimal floating-point values are the same.
samequantumd128,math.h,"__bool__ samequantumd128(_Decimal128 x, _Decimal128 y);",Determine if the quantum exponents of two quad-precision decimal floating-point values are the same.
raise,signal.h,int raise(int sig);,Sends the signal sig to the running program.
rand,stdlib.h,int rand(void);,Returns a pseudo-random integer.
rand_r,stdlib.h,int rand_r(void);,Returns a pseudo-random integer. (Restartable version)
realloc,stdlib.h,"void *realloc(void *ptr, size_t size);",Changes the size of a previously reserved storage block.
regcomp,regex.h,"int regcomp(regex_t *preg, const char *pattern, int cflags);",Compiles the source regular expression pointed to by pattern into an executable version and stores it in the location pointed to by preg.
regerror,regex.h,"size_t regerror(int errcode, const regex_t *preg, char *errbuf, size_t errbuf_size);",Finds the description for the error code errcode for the regular expression preg.
regexec,regex.h,"int regexec(const regex_t *preg, const char *string, size_t nmatch, regmatch_t *pmatch, int eflags);",Compares the null-ended string string against the compiled regular expression preg to find a match between the two.
regfree,regex.h,void regfree(regex_t *preg);,Frees any memory that was allocated by regcomp to implement the regular expression preg.
remove,stdio.h,int remove(const char *filename);,Deletes the file specified by filename.
rename,stdio.h,"int rename(const char *oldname, const char *newname);",Renames the specified file.
rewind1,stdio.h,void rewind(FILE *stream);,Repositions the file pointer associated with stream to the beginning of the file.
scanf,stdio.h,"int scanf(const char *format-string, arg-list);",Reads data from stdin into locations given by arg-list.
setbuf,stdio.h,"void setbuf(FILE *stream, char *buffer);",Controls buffering for stream.
setjmp,setjmp.h,int setjmp(jmp_buf env);,Saves a stack environment that can be subsequently restored by longjmp.
setlocale,locale.h,"char *setlocale(int category, const char *locale);",Changes or queries variables defined in the locale.
setvbuf,stdio.h,"int setvbuf(FILE *stream, char *buf, int type, size_t size);",Controls buffering and buffer size for stream.
signal,signal.h,"void(*signal (int sig, void(*func)(int))) (int);",Registers func as a signal handler for the signal sig.
sin,math.h,double sin(double x);,Calculates the sine of x.
sinh,math.h,double sinh(double x);,Calculates the hyperbolic sine of x.
snprintf,stdio.h,"int snprintf(char *outbuf, size_t n, const char*, ...)",Same as sprintf except that the function will stop after n characters have been written to outbuf.
sprintf,stdio.h,"int sprintf(char *buffer, const char *format-string, arg-list);",Formats and stores characters and values in buffer.
sqrt,math.h,double sqrt(double x);,Calculates the square root of x.
srand,stdlib.h,void srand(unsigned int seed);,Sets the seed for the pseudo-random number generator.
sscanf,stdio.h,"int sscanf(const char *buffer, const char *format, arg-list);",Reads data from buffer into the locations given by arg-list.
strcasecmp,strings.h,"int srtcasecmp(const char *string1, const char *string2);",Compares strings without case sensitivity.
strcat,string.h,"char *strcat(char *string1, const char *string2);",Concatenates string2 to string1.
strchr,string.h,"char *strchr(const char *string, int c);",Locates the first occurrence of c in string.
strcmp,string.h,"int strcmp(const char *string1, const char *string2);",Compares the value of string1 to string2.
strcoll,string.h,"int strcoll(const char *string1, const char *string2);",Compares two strings using the collating sequence in the current locale.
strcpy,string.h,"char *strcpy(char *string1, const char *string2);",Copies string2 into string1.
strcspn,string.h,"size_t strcspn(const char *string1, const char *string2);",Returns the length of the initial substring of string1 consisting of characters not contained in string2.
strerror,string.h,char *strerror(int errnum);,Maps the error number in errnum to an error message string.
strfmon4,wchar.h,"int strfmon (char *s, size_t maxsize, const char *format, ...);",Converts monetary value to string.
strftime,time.h,"size_t strftime (char *dest, size_t maxsize, const char *format, const struct tm *timeptr);","Stores characters in an array pointed to by dest, according to the string determined by format."
strlen,string.h,size_t strlen(const char *string);,Calculates the length of string.
strncasecmp,strings.h,"int strncasecmp(const char *string1, const char *string2, size_t count);",Compares strings without case sensitivity.
strncat,string.h,"char *strncat(char *string1, const char *string2, size_t count);",Concatenates up to count characters of string2 to string1.
strncmp,string.h,"int strncmp(const char *string1, const char *string2, size_t count);",Compares up to count characters of string1 and string2.
strncpy,string.h,"char *strncpy(char *string1, const char *string2, size_t count);",Copies up to count characters of string2 to string1.
strpbrk,string.h,"char *strpbrk(const char *string1, const char *string2);",Locates the first occurrence in string1 of any character in string2.
strptime4,time.h,"char *strptime (const char *buf, const char *format, struct tm *tm);",Date and time conversion
strrchr,string.h,"char *strrchr(const char *string, int c);",Locates the last occurrence of c in string.
strspn,string.h,"size_t strspn(const char *string1, const char *string2);",Returns the length of the initial substring of string1 consisting of characters contained in string2.
strstr,string.h,"char *strstr(const char *string1, const char *string2);",Returns a pointer to the first occurrence of string2 in string1.
strtod,stdlib.h,"double strtod(const char *nptr, char **endptr);",Converts nptr to a double precision value.
strtod32,stdlib.h,"_Decimal32 strtod32(const char *nptr, char **endptr);",Converts nptr to a single-precision decimal floating-point value.
strtod64,stdlib.h,"_Decimal64 strtod64(const char *nptr, char **endptr);",Converts nptr to a double-precision decimal floating-point value.
strtod128,stdlib.h,"_Decimal128 strtod128(const char *nptr, char **endptr);",Converts nptr to a quad-precision decimal floating-point value.
strtof,stdlib.h,"float strtof(const char *nptr, char **endptr);",Converts nptr to a float value.
strtok,string.h,"char *strtok(char *string1, const char *string2);",Locates the next token in string1 delimited by the next character in string2.
strtok_r,string.h,"char *strtok_r(char *string, const char *seps, char **lasts);",Locates the next token in string delimited by the next character in seps. (Restartable version of strtok.)
strtol,stdlib.h,"long int strtol(const char *nptr, char **endptr, int base);",Converts nptr to a signed long integer.
strtold,stdlib.h,"long double strtold(const char *nptr, char **endptr);",Converts nptr to a long double value.
strtoul,stdlib.h,"unsigned long int strtoul(const char *string1, char **string2, int base);",Converts string1 to an unsigned long integer.
strxfrm,string.h,"size_t strxfrm(char *string1, const char *string2, size_t count);",Converts string2 and places the result in string1. The conversion is determined by the program's current locale.
swprintf,wchar.h,"int swprintf(wchar_t *wcsbuffer, size_t n, const wchar_t *format, arg-list);",Formats and stores a series of wide characters and values into the wide-character buffer wcsbuffer.
swscanf,wchar.h,"int swscanf (const wchar_t *buffer, const wchar_t *format, arg-list)",Reads data from buffer into the locations given by arg-list.
system,stdlib.h,int system(const char *string);,Passes string to the system command analyzer.
tan,math.h,double tan(double x);,Calculates the tangent of x.
tanh,math.h,double tanh(double x);,Calculates the hyperbolic tangent of x.
time,time.h,time_t time(time_t *timeptr);,Returns the current calendar time.
time64,time.h,time64_t time64(time64_t *timeptr);,Returns the current calendar time.
tmpfile,stdio.h,FILE *tmpfile(void);,Creates a temporary binary file and opens it.
tmpnam,stdio.h,char *tmpnam(char *string);,Generates a temporary file name.
toascii,ctype.h,int toascii(int c);,Converts c to a character in the 7-bit US-ASCII character set.
tolower,ctype.h,int tolower(int c);,Converts c to lowercase.
toupper,ctype.h,int toupper(int c);,Converts c to uppercase.
towctrans,wctype.h,"wint_t towctrans(wint_t wc, wctrans_t desc);",Translates the wide character wc based on the mapping described by desc.
towlower4,wctype.h,wint_t towlower (wint_t wc);,Converts uppercase letter to lowercase letter.
towupper4,wctype.h,wint_t towupper (wint_t wc);,Converts lowercase letter to uppercase letter.
ungetc1,stdio.h,"int ungetc(int c, FILE *stream);",Pushes c back onto the input stream.
ungetwc6,"stdio.h
wchar.h","wint_t ungetwc(wint_t wc, FILE *stream);",Pushes the wide character wc back onto the input stream.
va_arg,stdarg.h,"var_type va_arg(va_list arg_ptr, var_type);",Returns the value of one argument and modifies arg_ptr to point to the next argument.
va_copy,stdarg.h,"void va_copy(va_list dest, va_list src);",Initializes dest as a copy of src.
va_end,stdarg.h,void va_end(va_list arg_ptr);,Facilitates normal return from variable argument list processing.
va_start,stdarg.h,"void va_start(va_list arg_ptr, variable_name);",Initializes arg_ptr for subsequent use by va_arg and va_end.
vfprintf,stdio.h stdarg.h,"int vfprintf(FILE *stream, const char *format, va_list arg_ptr);",Formats and prints characters to the output stream using a variable number of arguments.
vfscanf,stdio.h stdarg.h,"int vfscanf(FILE *stream, const char *format, va_list arg_ptr);",Reads data from a specified stream into locations given by a variable number of arguments.
vfwprintf6,"stdarg.h
stdio.h
wchar.h","int vfwprintf(FILE *stream, const wchar_t *format, va_list arg);","Equivalent to fwprintf, except that the variable argument list is replaced by arg."
vfwscanf,stdio.h stdarg.h,"int vfwscanf(FILE *stream, const wchar_t *format, va_list arg_ptr);",Reads wide data from a specified stream into locations given by a variable number of arguments.
vprintf,stdio.h stdarg.h,"int vprintf(const char *format, va_list arg_ptr);",Formats and prints characters to stdout using a variable number of arguments.
vscanf,stdio.h stdarg.h,"int vscanf(const char *format, va_list arg_ptr);",Reads data from stdin into locations given by a variable number of arguments.
vsprintf,stdio.h stdarg.h,"int vsprintf(char *target-string, const char *format, va_list arg_ptr);",Formats and stores characters in a buffer using a variable number of arguments.
vsnprintf,stdio.h,"int vsnprintf(char *outbuf, size_t n, const char*, va_list);",Same as vsprintf except that the function will stop after n characters have been written to outbuf.
vsscanf,stdio.h stdarg.h,"int vsscanf(const char*buffer, const char *format, va_list arg_ptr);",Reads data from a buffer into locations given by a variable number of arguments.
vswprintf,"stdarg.h
wchar.h","int vswprintf(wchar_t *wcsbuffer, size_t n, const wchar_t *format, va_list arg);",Formats and stores a series of wide characters and values in the buffer wcsbuffer.
vswscanf,stdio.h wchar.h,"int vswscanf(const wchar_t *buffer, const wchar_t *format, va_list arg_ptr);",Reads wide data from a buffer into locations given by a variable number of arguments.
vwprintf6,"stdarg.h
wchar.h","int vwprintf(const wchar_t *format, va_list arg);","Equivalent to wprintf, except that the variable argument list is replaced by arg."
vwscanf,stdio.h wchar.h,"int vwscanf(const wchar_t *format, va_list arg_ptr);",Reads wide data from stdin into locations given by a variable number of arguments.
wcrtomb4,wchar.h,"int wcrtomb (char *s, wchar_t wchar, mbstate_t *pss);",Converts a wide character to a multibyte character. (Restartable version of wctomb.)
wcscat,wchar.h,"wchar_t *wcscat(wchar_t *string1, const wchar_t *string2);",Appends a copy of the string pointed to by string2 to the end of the string pointed to by string1.
wcschr,wchar.h,"wchar_t *wcschr(const wchar_t *string, wchar_t character);",Searches the wide-character string pointed to by string for the occurrence of character.
wcscmp,wchar.h,"int wcscmp(const wchar_t *string1, const wchar_t *string2);","Compares two wide-character strings, *string1 and *string2."
wcscoll4,wchar.h,"int wcscoll (const wchar_t *wcs1, const wchar_t *wcs2);",Compares two wide-character strings using the collating sequence in the current locale.
wcscpy,wchar.h,"wchar_t *wcscpy(wchar_t *string1, const wchar_t *string2);",Copies the contents of *string2 (including the ending wchar_t null character) into *string1.
wcscspn,wchar.h,"size_t wcscspn(const wchar_t *string1, const wchar_t *string2);",Determines the number of wchar_t characters in the initial segment of the string pointed to by *string1 that do not appear in the string pointed to by *string2.
wcsftime,wchar.h,"size_t wcsftime(wchar_t *wdest, size_t maxsize, const wchar_t *format, const struct tm *timeptr);",Converts the time and date specification in the timeptr structure into a wide-character string.
wcslen,wchar.h,size_t wcslen(const wchar_t *string);,Computes the number of wide-characters in the string pointed to by string.
wcslocaleconv,locale.h,struct wcslconv *wcslocaleconv(void);,Formats numeric quantities in struct wcslconv according to the current locale.
wcsncat,wchar.h,"wchar_t *wcsncat(wchar_t *string1, const wchar_t *string2, size_t count);","Appends up to count wide characters from string2 to the end of string1, and appends a wchar_t null character to the result."
wcsncmp,wchar.h,"int wcsncmp(const wchar_t *string1, const wchar_t *string2, size_t count);",Compares up to count wide characters in string1 to string2.
wcsncpy,wchar.h,"wchar_t *wcsncpy(wchar_t *string1, const wchar_t *string2, size_t count);",Copies up to count wide characters from string2 to string1.
wcspbrk,wchar.h,"wchar_t *wcspbrk(const wchar_t *string1, const wchar_t *string2);",Locates the first occurrence in the string pointed to by string1 of any wide characters from the string pointed to by string2.
wcsptime,wchar.h,"wchar_t *wcsptime ( const wchar_t *buf, const wchar_t *format, struct tm *tm );","Date and time conversion. Equivalent to strptime(), except that it uses wide characters."
wcsrchr,wchar.h,"wchar_t *wcsrchr(const wchar_t *string, wchar_t character);",Locates the last occurrence of character in the string pointed to by string.
wcsrtombs4,wchar.h,"size_t wcsrtombs (char *dst, const wchar_t **src, size_t len, mbstate_t *ps);",Converts wide character string to multibyte string. (Restartable version of wcstombs.)
wcsspn,wchar.h,"size_t wcsspn(const wchar_t *string1, const wchar_t *string2);","Computes the number of wide characters in the initial segment of the string pointed to by string1, which consists entirely of wide characters from the string pointed to by string2."
wcsstr,wchar.h,"wchar_t *wcsstr(const wchar_t *wcs1, const wchar_t *wcs2);",Locates the first occurrence of wcs2 in wcs1.
wcstod,wchar.h,"double wcstod(const wchar_t *nptr, wchar_t **endptr);",Converts the initial portion of the wide-character string pointed to by nptr to a double value.
wcstod32,wchar.h,"_Decimal32 wcstod32(const wchar_t *nptr, wchar_t **endptr);",Converts the initial portion of the wide-character string pointed to by nptr to a single-precision decimal floating-point value.
