v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,cleaned_v2,tokens,tokens_nostop,tokens_stemmed,tokens_lemmatized
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,"['im', 'gonna', 'be', 'home', 'soon', 'and', 'i', 'dont', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']","['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']","['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']","['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info,"['six', 'chances', 'to', 'win', 'cash', 'from', 'to', 'pounds', 'txt', 'csh', 'and', 'send', 'to', 'cost', 'pday', 'days', 'tsandcs', 'apply', 'reply', 'hl', 'info']","['six', 'chances', 'win', 'cash', 'pounds', 'txt', 'csh', 'send', 'cost', 'pday', 'days', 'tsandcs', 'apply', 'reply', 'hl', 'info']","['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandc', 'appli', 'repli', 'hl', 'info']","['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandc', 'appli', 'repli', 'hl', 'info']"
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,,urgent you have won a week free membership in our å prize jackpot txt the word claim to no tc lccltd pobox ldnwarw,"['urgent', 'you', 'have', 'won', 'a', 'week', 'free', 'membership', 'in', 'our', 'å', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', 'tc', 'lccltd', 'pobox', 'ldnwarw']","['urgent', 'week', 'free', 'membership', 'å', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'lccltd', 'pobox', 'ldnwarw']","['urgent', 'week', 'free', 'membership', 'å', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'lccltd', 'pobox', 'ldnwarw']","['urgent', 'week', 'free', 'membership', 'å', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'lccltd', 'pobox', 'ldnwarw']"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['ive', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']","['ive', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']","['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']","['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,,,,i have a date on sunday with will,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']","['date', 'sunday']","['date', 'sunday']","['date', 'sunday']"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
ham,Oh k...i'm watching here:),,,,oh kim watching here,"['oh', 'kim', 'watching', 'here']","['oh', 'kim', 'watching']","['oh', 'kim', 'watch']","['oh', 'kim', 'watch']"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,,eh u remember how spell his name yes i did he v naughty make until i v wet,"['eh', 'u', 'remember', 'how', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['eh', 'u', 'remember', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']","['eh', 'u', 'rememb', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']","['eh', 'u', 'rememb', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']"
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,,,,fine if thatåõs the way u feel thatåõs the way its gota b,"['fine', 'if', 'thatåõs', 'the', 'way', 'u', 'feel', 'thatåõs', 'the', 'way', 'its', 'gota', 'b']","['fine', 'thatåõs', 'way', 'u', 'feel', 'thatåõs', 'way', 'gota', 'b']","['fine', 'thatåõ', 'way', 'u', 'feel', 'thatåõ', 'way', 'gota', 'b']","['fine', 'thatåõ', 'way', 'u', 'feel', 'thatåõ', 'way', 'gota', 'b']"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txtì¼ poboxoxwwq,"['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'to', 'eg', 'england', 'to', 'trywales', 'scotland', 'txtì¼', 'poboxoxwwq']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'trywales', 'scotland', 'txtì¼', 'poboxoxwwq']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'trywal', 'scotland', 'txtì¼', 'poboxoxwwq']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'trywal', 'scotland', 'txtì¼', 'poboxoxwwq']"
ham,Is that seriously how you spell his name?,,,,is that seriously how you spell his name,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['seriously', 'spell', 'name']","['serious', 'spell', 'name']","['serious', 'spell', 'name']"
ham,IÛ÷m going to try for 2 months ha ha only joking,,,,iûm going to try for months ha ha only joking,"['iûm', 'going', 'to', 'try', 'for', 'months', 'ha', 'ha', 'only', 'joking']","['iûm', 'going', 'try', 'months', 'ha', 'ha', 'joking']","['iûm', 'go', 'tri', 'month', 'ha', 'ha', 'joke']","['iûm', 'go', 'tri', 'month', 'ha', 'ha', 'joke']"
ham,So Ì_ pay first lar... Then when is da stock comin...,,,,so ì_ pay first lar then when is da stock comin,"['so', 'ì_', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']","['ì_', 'pay', 'first', 'lar', 'da', 'stock', 'comin']","['ì_', 'pay', 'first', 'lar', 'da', 'stock', 'comin']","['ì_', 'pay', 'first', 'lar', 'da', 'stock', 'comin']"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,,,,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'im', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'im', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']","['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'im', 'sick', 'turn', 'pizza', 'lol']","['forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']","['forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']"
ham,Lol your always so convincing.,,,,lol your always so convincing,"['lol', 'your', 'always', 'so', 'convincing']","['lol', 'always', 'convincing']","['lol', 'alway', 'convinc']","['lol', 'alway', 'convinc']"
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,"['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']","['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'love']","['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']","['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,,im back amp were packing the car now ill let you know if theres room,"['im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'theres', 'room']","['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'theres', 'room']","['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']","['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,,ahhh work i vaguely remember that what does it feel like lol,"['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']","['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']","['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']","['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']","['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'u']"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,"['yeah', 'he', 'got', 'in', 'at', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', 'but', 'we', 'wont', 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you']","['yeah', 'got', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badly', 'cheers']","['yeah', 'got', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badli', 'cheer']","['yeah', 'got', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badli', 'cheer']"
ham,K tell me anything about you.,,,,k tell me anything about you,"['k', 'tell', 'me', 'anything', 'about', 'you']","['k', 'tell', 'anything']","['k', 'tell', 'anyth']","['k', 'tell', 'anyth']"
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,,for fear of fainting with the of all that housework you just did quick have a cuppa,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']","['fear', 'fainting', 'housework', 'quick', 'cuppa']","['fear', 'faint', 'housework', 'quick', 'cuppa']","['fear', 'faint', 'housework', 'quick', 'cuppa']"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,,,,thanks for your subscription to ringtone uk your mobile will be charged åmonth please confirm by replying yes or no if you reply no you will not be charged,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', 'åmonth', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']","['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'åmonth', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']","['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'åmonth', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']","['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'åmonth', 'plea', 'confirm', 'repli', 'ye', 'repli', 'charg']"
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,,yup ok i go home look at the timings then i msg ì_ again xuhui going to learn on nd may too but her lesson is at am,"['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ì_', 'again', 'xuhui', 'going', 'to', 'learn', 'on', 'nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', 'am']","['yup', 'ok', 'go', 'home', 'look', 'timings', 'msg', 'ì_', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']","['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ì_', 'xuhui', 'go', 'learn', 'nd', 'may', 'lesson']","['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ì_', 'xuhui', 'go', 'learn', 'nd', 'may', 'lesson']"
ham,"Oops, I'll let you know when my roommate's done",,,,oops ill let you know when my roommates done,"['oops', 'ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']","['oops', 'ill', 'let', 'know', 'roommates', 'done']","['oop', 'ill', 'let', 'know', 'roommat', 'done']","['oop', 'ill', 'let', 'know', 'roommat', 'done']"
ham,I see the letter B on my car,,,,i see the letter b on my car,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']","['see', 'letter', 'b', 'car']","['see', 'letter', 'b', 'car']","['see', 'letter', 'b', 'car']"
ham,Anything lor... U decide...,,,,anything lor u decide,"['anything', 'lor', 'u', 'decide']","['anything', 'lor', 'u', 'decide']","['anyth', 'lor', 'u', 'decid']","['anyth', 'lor', 'u', 'decid']"
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,"['hello', 'hows', 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', 'youd', 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', 'im', 'trying', 'to', 'invite', 'myself', 'or', 'anything']","['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']","['hello', 'how', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'tri', 'invit', 'anyth']","['hello', 'how', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'tri', 'invit', 'anyth']"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pls', 'go', 'ahead', 'with', 'watts', 'i', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']","['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']","['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']","['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,"['did', 'i', 'forget', 'to', 'tell', 'you', 'i', 'want', 'you', 'i', 'need', 'you', 'i', 'crave', 'you', 'but', 'most', 'of', 'all', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']"
